Department Name,Date,Number of Sales
Garden & Outdoor,2023-03-06,298
Video Games,2023-11-10,3351
Health & Beauty,2023-03-21,2156
Music,2023-04-27,4037
Luggage,2023-11-16,1066
Furniture,2023-02-05,3121
Cell Phones,2023-12-25,792
Pharmacy,2023-01-08,2422
Cell Phones,2023-05-03,1454
Garden & Outdoor,2023-12-30,190
Appliances,2023-11-13,1489
Jewelry,2023-06-16,1827
Furniture,2023-05-02,655
Sports,2023-01-06,856
Clothing,2023-03-04,1574
Art & Crafts,2023-07-21,2318
Art & Crafts,2023-10-25,4473
Food & Beverage,2023-09-08,297
Art & Crafts,2023-10-21,1196
Beauty & Personal Care,2023-10-19,1439
Pharmacy,2023-05-19,1439
Industrial & Scientific,2023-03-11,1654
Art & Crafts,2023-03-24,2535
Tools & Hardware,2023-12-17,2006
Pet Supplies,2023-06-29,1240
Food & Beverage,2023-10-21,66
Watches,2023-06-10,797
Office Supplies,2023-03-01,1018
Tools & Hardware,2023-05-24,2862
Beauty & Personal Care,2023-09-11,1672
Video Games,2023-07-29,3021
Clothing,2023-12-16,3054
Food & Beverage,2023-01-26,1113
Office Supplies,2023-09-01,2719
Musical Instruments,2023-03-03,3797
Garden & Outdoor,2023-03-01,1218
Garden & Outdoor,2023-08-04,1673
Appliances,2023-01-20,4887
Office Supplies,2023-04-24,2074
Industrial & Scientific,2023-07-15,1466
Shoes,2023-05-27,931
Furniture,2023-01-06,688
Video Games,2023-09-22,2270
Industrial & Scientific,2023-01-31,2630
Musical Instruments,2023-09-24,3405
Industrial & Scientific,2023-10-22,1429
Music,2023-04-10,2962
Computer & Tablets,2023-03-09,4566
Garden & Outdoor,2023-04-22,4710
Movies & TV,2023-12-03,2279
Garden & Outdoor,2023-09-20,1488
Shoes,2023-08-11,4849
Automotive,2023-02-09,4228
Appliances,2023-05-09,1323
Food & Beverage,2023-03-11,1158
Art & Crafts,2023-07-05,1320
Beauty & Personal Care,2023-10-19,3619
Shoes,2023-10-26,159
Garden & Outdoor,2023-07-08,207
Shoes,2023-06-14,728
Appliances,2023-10-04,2114
Movies & TV,2023-05-28,4732
Tools & Hardware,2023-07-16,2367
Movies & TV,2023-09-08,3004
Clothing,2023-05-01,4587
Sports,2023-12-18,4283
Books,2023-02-19,1697
Automotive,2023-08-01,1542
Sports,2023-07-12,4910
Watches,2023-10-05,4712
Sports,2023-03-28,4604
Watches,2023-01-22,1585
Furniture,2023-09-15,2065
Food & Beverage,2023-11-03,1251
Books,2023-05-03,2034
Movies & TV,2023-05-29,1829
Pharmacy,2023-06-30,102
Computer & Tablets,2023-01-22,2965
Luggage,2023-09-04,3274
Cell Phones,2023-12-10,2517
Travel,2023-11-30,306
Video Games,2023-11-11,652
Travel,2023-02-17,2513
Beauty & Personal Care,2023-05-20,3085
Travel,2023-04-03,1335
Food & Beverage,2023-12-19,3698
Watches,2023-04-26,3352
Home & Garden,2023-05-26,3105
Industrial & Scientific,2023-10-21,3629
Tools & Hardware,2023-02-01,2050
Music,2023-05-26,1424
Software,2023-02-14,2779
Art & Crafts,2023-07-07,245
Industrial & Scientific,2023-10-31,3774
Software,2023-10-15,1241
Travel,2023-07-13,492
Baby & Kids,2023-01-08,1453
Health & Beauty,2023-10-15,4020
Video Games,2023-06-18,4473
Books,2023-07-16,2444
Pharmacy,2023-11-05,1316
Art & Crafts,2023-12-01,2584
Food & Beverage,2023-03-21,3369
Beauty & Personal Care,2023-10-03,697
Pharmacy,2023-09-27,1339
Sports,2023-03-09,120
Travel,2023-02-22,2167
Musical Instruments,2023-10-02,2250
Electronics,2023-06-10,3064
Baby & Kids,2023-06-29,2687
Video Games,2023-09-10,3904
Pet Supplies,2023-07-29,1368
Electronics,2023-09-10,1467
Cell Phones,2023-08-01,4331
Tools & Hardware,2023-11-29,2926
Home & Garden,2023-01-24,4409
Electronics,2023-11-19,4208
Art & Crafts,2023-02-02,54
Baby & Kids,2023-02-07,3927
Jewelry,2023-03-05,489
Baby & Kids,2023-09-13,2502
Health & Beauty,2023-05-18,4422
Art & Crafts,2023-10-14,4522
Clothing,2023-09-24,4024
Pet Supplies,2023-02-14,4119
Home & Garden,2023-07-12,269
Baby & Kids,2023-04-20,4819
Garden & Outdoor,2023-07-05,2995
Art & Crafts,2023-06-17,2703
Clothing,2023-12-12,3217
Clothing,2023-12-27,3405
Home & Garden,2023-09-13,1004
Watches,2023-07-27,3016
Movies & TV,2023-10-07,3017
Clothing,2023-08-07,1218
Garden & Outdoor,2023-02-04,246
Shoes,2023-08-12,3542
Clothing,2023-07-15,341
Jewelry,2023-10-23,1803
Baby & Kids,2023-07-17,565
Video Games,2023-06-12,243
Movies & TV,2023-11-15,2407
Food & Beverage,2023-12-28,474
Pharmacy,2023-12-19,1215
Home & Garden,2023-03-08,353
Toys,2023-01-21,1560
Health & Beauty,2023-12-05,1437
Movies & TV,2023-11-03,3448
Books,2023-12-02,1269
Food & Beverage,2023-07-16,1491
Baby & Kids,2023-01-24,1967
Office Supplies,2023-11-26,4257
Watches,2023-03-22,2706
Pharmacy,2023-02-04,3012
Books,2023-09-13,3712
Cell Phones,2023-07-13,360
Watches,2023-05-26,1210
Cell Phones,2023-10-01,4825
Pharmacy,2023-11-14,4283
Automotive,2023-02-14,3865
Pharmacy,2023-08-02,4493
Watches,2023-03-09,4847
Music,2023-04-24,4512
Watches,2023-04-07,2027
Books,2023-05-17,3725
Toys,2023-02-16,3591
Furniture,2023-10-28,1038
Office Supplies,2023-01-06,3065
Video Games,2023-12-19,149
Computer & Tablets,2023-07-17,4677
Tools & Hardware,2023-03-09,1546
Pharmacy,2023-11-09,623
Tools & Hardware,2023-01-08,2005
Electronics,2023-08-30,129
Furniture,2023-05-08,4570
Home & Garden,2023-04-18,173
Pet Supplies,2023-03-27,1470
Home & Garden,2023-01-09,1622
Food & Beverage,2023-07-14,4531
Computer & Tablets,2023-04-09,2095
Watches,2023-03-16,2343
Software,2023-10-07,2864
Health & Beauty,2023-09-01,4242
Watches,2023-12-30,3278
Garden & Outdoor,2023-06-23,3219
Luggage,2023-01-26,4224
Baby & Kids,2023-03-25,1244
Pharmacy,2023-12-08,4757
Home & Garden,2023-08-28,4313
Clothing,2023-08-05,2272
Music,2023-08-19,2065
Tools & Hardware,2023-01-21,2931
Automotive,2023-06-15,4235
Books,2023-11-01,342
Cell Phones,2023-08-14,368
Pet Supplies,2023-10-09,3053
Watches,2023-05-05,1156
Books,2023-05-21,3125
Clothing,2023-12-08,538
Books,2023-02-23,1956
Cell Phones,2023-06-05,1124
Books,2023-12-04,269
Tools & Hardware,2023-07-15,3369
Garden & Outdoor,2023-02-13,1351
Luggage,2023-02-15,2822
Food & Beverage,2023-01-01,4133
Cell Phones,2023-01-10,1769
Art & Crafts,2023-06-24,852
Computer & Tablets,2023-02-19,2577
Industrial & Scientific,2023-03-14,1541
Sports,2023-02-11,2268
Jewelry,2023-03-26,173
Toys,2023-01-16,3298
Food & Beverage,2023-05-27,250
Books,2023-04-19,4564
Garden & Outdoor,2023-05-02,3120
Electronics,2023-08-19,4504
Industrial & Scientific,2023-10-13,437
Computer & Tablets,2023-07-30,4212
Electronics,2023-03-09,2571
Art & Crafts,2023-09-20,3081
Sports,2023-05-29,1348
Travel,2023-11-05,4535
Baby & Kids,2023-10-04,1376
Pet Supplies,2023-09-17,653
Tools & Hardware,2023-08-08,588
Shoes,2023-10-31,4948
Shoes,2023-03-10,2900
Toys,2023-04-13,2661
Software,2023-01-13,3131
Toys,2023-03-15,1355
Automotive,2023-07-10,1172
Watches,2023-10-12,465
Baby & Kids,2023-05-17,2604
Pharmacy,2023-02-17,3669
Art & Crafts,2023-05-05,777
Office Supplies,2023-04-23,1018
Food & Beverage,2023-08-09,4802
Software,2023-06-13,2082
Art & Crafts,2023-10-03,3921
Tools & Hardware,2023-03-27,4233
Jewelry,2023-09-14,2391
Office Supplies,2023-05-13,2343
Video Games,2023-09-25,4061
Musical Instruments,2023-04-22,4396
Books,2023-05-10,4983
Cell Phones,2023-10-30,968
Tools & Hardware,2023-09-13,4345
Travel,2023-04-24,1603
Furniture,2023-05-01,2783
Sports,2023-02-27,1289
Luggage,2023-02-28,1823
Home & Garden,2023-01-11,2855
Clothing,2023-12-04,4348
Software,2023-03-23,1498
Baby & Kids,2023-04-10,961
Travel,2023-02-09,2220
Beauty & Personal Care,2023-04-22,2007
Automotive,2023-03-05,1432
Music,2023-02-15,2915
Computer & Tablets,2023-04-21,4861
Clothing,2023-05-06,3564
Industrial & Scientific,2023-12-15,4981
Computer & Tablets,2023-03-04,4842
Garden & Outdoor,2023-08-25,2730
Clothing,2023-07-05,1924
Software,2023-09-18,3886
Video Games,2023-04-13,4054
Movies & TV,2023-09-08,1740
Pet Supplies,2023-07-01,395
Electronics,2023-07-24,131
Jewelry,2023-11-20,3194
Food & Beverage,2023-10-01,1128
Software,2023-08-28,403
Beauty & Personal Care,2023-06-13,3251
Automotive,2023-02-10,1118
Pet Supplies,2023-05-17,504
Appliances,2023-08-30,118
Video Games,2023-09-30,1236
Furniture,2023-08-29,101
Tools & Hardware,2023-02-19,2827
Electronics,2023-03-12,3145
Pharmacy,2023-05-01,4114
Software,2023-08-31,562
Video Games,2023-01-04,3386
Video Games,2023-05-25,4166
Musical Instruments,2023-07-24,797
Sports,2023-07-29,3495
Watches,2023-04-24,796
Furniture,2023-09-08,3865
Music,2023-08-09,214
Art & Crafts,2023-04-11,465
Furniture,2023-06-29,3532
Clothing,2023-09-10,3836
Food & Beverage,2023-10-25,2653
Jewelry,2023-10-15,3544
Video Games,2023-05-28,940
Luggage,2023-10-15,3346
Garden & Outdoor,2023-01-01,4698
Software,2023-09-23,2658
Furniture,2023-09-01,1353
Health & Beauty,2023-11-05,4266
Travel,2023-10-19,3040
Toys,2023-07-03,4105
Appliances,2023-05-27,2774
Electronics,2023-04-14,4330
Cell Phones,2023-03-31,1822
Clothing,2023-05-31,1238
Tools & Hardware,2023-02-15,1322
Art & Crafts,2023-11-27,4252
Movies & TV,2023-07-23,376
Music,2023-01-19,2309
Luggage,2023-09-05,1521
Art & Crafts,2023-02-10,3317
Luggage,2023-07-31,1165
Appliances,2023-12-10,3133
Music,2023-04-09,3883
Food & Beverage,2023-12-03,3595
Food & Beverage,2023-02-08,751
Appliances,2023-06-11,1970
Computer & Tablets,2023-08-04,3872
Beauty & Personal Care,2023-07-04,3082
Home & Garden,2023-09-12,1697
Software,2023-01-23,3167
Jewelry,2023-04-14,609
Music,2023-10-22,3697
Home & Garden,2023-10-23,3967
Computer & Tablets,2023-01-12,1204
Travel,2023-04-19,192
Health & Beauty,2023-02-05,3218
Sports,2023-05-20,385
Musical Instruments,2023-05-27,4077
Software,2023-12-02,2226
Movies & TV,2023-09-17,3246
Electronics,2023-12-29,2649
Appliances,2023-06-02,651
Home & Garden,2023-12-20,1763
Sports,2023-03-15,2521
Garden & Outdoor,2023-09-24,4472
Sports,2023-08-05,3113
Home & Garden,2023-06-05,4160
Software,2023-12-27,1639
Watches,2023-09-24,4435
Clothing,2023-06-19,2157
Pharmacy,2023-07-25,4454
Pharmacy,2023-06-17,4163
Luggage,2023-03-24,334
Health & Beauty,2023-05-30,2315
Luggage,2023-02-03,1352
Furniture,2023-10-04,1127
Industrial & Scientific,2023-04-10,745
Movies & TV,2023-09-28,1499
Pharmacy,2023-11-09,4236
Toys,2023-01-21,3166
Computer & Tablets,2023-06-22,4158
Food & Beverage,2023-05-05,4637
Toys,2023-06-23,3251
Office Supplies,2023-02-28,472
Video Games,2023-01-21,4544
Furniture,2023-09-19,4168
Appliances,2023-08-10,517
Watches,2023-01-19,2892
Cell Phones,2023-02-07,1753
Garden & Outdoor,2023-10-14,2281
Books,2023-06-24,2580
Tools & Hardware,2023-11-02,4500
Pharmacy,2023-05-12,1195
Computer & Tablets,2023-09-08,773
Beauty & Personal Care,2023-08-17,2370
Books,2023-10-29,3212
Health & Beauty,2023-06-06,3632
Garden & Outdoor,2023-08-01,2743
Luggage,2023-09-29,678
Movies & TV,2023-03-13,2628
Tools & Hardware,2023-05-13,3756
Watches,2023-01-05,1754
Sports,2023-08-22,4845
Electronics,2023-10-30,601
Shoes,2023-06-27,3018
Health & Beauty,2023-12-16,3615
Garden & Outdoor,2023-02-08,1492
Computer & Tablets,2023-11-06,3517
Art & Crafts,2023-09-15,342
Cell Phones,2023-05-09,4236
Music,2023-05-28,4762
Furniture,2023-04-18,2730
Cell Phones,2023-08-21,4721
Art & Crafts,2023-08-17,257
Furniture,2023-11-25,2915
Tools & Hardware,2023-02-24,2310
Software,2023-08-25,3074
Clothing,2023-07-27,1060
Food & Beverage,2023-01-25,1207
Tools & Hardware,2023-09-23,2521
Toys,2023-07-24,3667
Electronics,2023-10-16,2957
Tools & Hardware,2023-04-27,874
Baby & Kids,2023-03-30,3643
Musical Instruments,2023-05-13,4253
Sports,2023-08-24,2122
Toys,2023-12-26,2666
Electronics,2023-04-10,2761
Food & Beverage,2023-11-08,3798
Software,2023-06-25,4445
Food & Beverage,2023-08-06,2594
Shoes,2023-05-23,3420
Home & Garden,2023-06-13,1908
Health & Beauty,2023-01-07,4441
Luggage,2023-02-28,3677
Beauty & Personal Care,2023-05-16,4451
Travel,2023-02-02,3425
Office Supplies,2023-07-12,4485
Luggage,2023-06-19,2763
Movies & TV,2023-09-10,3786
Watches,2023-08-24,3724
Musical Instruments,2023-12-30,1295
Software,2023-05-15,3797
Movies & TV,2023-10-18,2230
Jewelry,2023-12-18,609
Jewelry,2023-04-17,2286
Beauty & Personal Care,2023-07-20,4351
Furniture,2023-12-28,3420
Sports,2023-06-05,1470
Travel,2023-09-05,4534
Industrial & Scientific,2023-05-14,1614
Electronics,2023-04-23,3422
Automotive,2023-04-06,4389
Art & Crafts,2023-12-23,1851
Clothing,2023-02-20,3687
Electronics,2023-09-19,1794
Books,2023-10-07,4621
Travel,2023-04-02,197
Baby & Kids,2023-10-26,2025
Movies & TV,2023-10-01,3088
Shoes,2023-07-04,2655
Sports,2023-07-04,4026
Automotive,2023-05-11,532
Industrial & Scientific,2023-01-17,2048
Office Supplies,2023-04-28,2442
Clothing,2023-09-13,489
Software,2023-04-01,2264
Shoes,2023-12-20,2122
Health & Beauty,2023-06-16,3427
Appliances,2023-10-29,3183
Pharmacy,2023-07-26,4683
Computer & Tablets,2023-11-22,4792
Software,2023-11-13,2475
Shoes,2023-01-23,210
Office Supplies,2023-10-20,2370
Movies & TV,2023-08-24,3132
Music,2023-09-27,816
Tools & Hardware,2023-01-31,2636
Software,2023-10-28,4982
Computer & Tablets,2023-10-24,2870
Books,2023-07-04,1848
Pharmacy,2023-10-05,4331
Travel,2023-03-23,311
Travel,2023-12-05,1639
Movies & TV,2023-03-10,3670
Sports,2023-08-05,2877
Furniture,2023-08-13,1123
Cell Phones,2023-12-10,2347
Shoes,2023-07-11,736
Luggage,2023-09-08,3450
Travel,2023-01-06,409
Jewelry,2023-06-20,4066
Art & Crafts,2023-08-08,1944
Software,2023-07-23,1920
Pet Supplies,2023-02-27,2991
Toys,2023-02-28,3060
Computer & Tablets,2023-12-27,893
Garden & Outdoor,2023-04-14,1951
Pharmacy,2023-01-03,267
Industrial & Scientific,2023-11-23,1131
Automotive,2023-02-04,3906
Beauty & Personal Care,2023-03-17,1041
Video Games,2023-05-20,1621
Pharmacy,2023-03-03,507
Travel,2023-10-11,4062
Music,2023-02-18,1136
Food & Beverage,2023-08-10,4904
Art & Crafts,2023-03-01,1886
Computer & Tablets,2023-08-19,3321
Movies & TV,2023-07-21,3411
Movies & TV,2023-11-07,2152
Luggage,2023-08-06,1683
Software,2023-01-24,4867
Shoes,2023-03-09,4292
Video Games,2023-08-29,3958
Toys,2023-03-31,2977
Computer & Tablets,2023-12-07,2159
Movies & TV,2023-03-26,2335
Pet Supplies,2023-11-29,4132
Food & Beverage,2023-03-30,4765
Electronics,2023-03-29,1901
Garden & Outdoor,2023-01-23,3355
Garden & Outdoor,2023-06-03,724
Sports,2023-02-19,992
Pharmacy,2023-07-11,2069
Software,2023-03-05,3453
Automotive,2023-10-16,2429
Industrial & Scientific,2023-03-05,4324
Appliances,2023-06-15,3442
Travel,2023-07-31,4408
Movies & TV,2023-01-10,2114
Furniture,2023-11-01,2897
Appliances,2023-11-12,1178
Musical Instruments,2023-12-12,206
Garden & Outdoor,2023-09-07,1862
Watches,2023-04-07,2424
Shoes,2023-02-02,4778
Automotive,2023-12-09,3682
Automotive,2023-08-12,3710
Baby & Kids,2023-01-14,1170
Movies & TV,2023-04-25,1200
Art & Crafts,2023-08-06,1081
Baby & Kids,2023-09-01,1221
Electronics,2023-04-07,3496
Cell Phones,2023-03-28,1375
Appliances,2023-07-26,4744
Movies & TV,2023-07-24,3499
Shoes,2023-05-16,1416
Art & Crafts,2023-05-20,3019
Sports,2023-09-02,3215
Furniture,2023-02-09,1269
Software,2023-02-18,3077
Food & Beverage,2023-03-28,1150
Books,2023-01-04,641
Clothing,2023-04-02,4187
Electronics,2023-04-28,2405
Watches,2023-09-04,3283
Luggage,2023-11-07,4059
Books,2023-07-14,1088
Industrial & Scientific,2023-09-02,1174
Art & Crafts,2023-07-06,4001
Music,2023-02-19,4879
Health & Beauty,2023-11-18,2826
Home & Garden,2023-02-09,2611
Baby & Kids,2023-11-07,4415
Cell Phones,2023-06-15,2684
Industrial & Scientific,2023-03-20,850
Toys,2023-01-31,3181
